                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3916,                 2.4648,                 1.4701,                0.62982,                0.62069,                0.75858,                0.32371,                 1.7574,                 2.0891,                  2.006,                0.09145,                0.00045,                0.00045
                      2,                  1.435,                 1.6709,                 1.4334,                0.11386,                0.10345,                0.05787,                0.01223,                 3.1448,                 3.4032,                 3.2107,               0.081903,             0.00090297,             0.00090297
                      3,                 1.4167,                 1.5443,                  1.463,                0.51086,                0.86207,                 0.7413,                0.28701,                  1.874,                 4.8848,                  3.088,               0.072306,              0.0013065,              0.0013065
                      4,                 1.4594,                 1.4705,                 1.4713,                0.54545,                0.41379,                0.52237,                0.21385,                 1.8536,                 11.054,                 2.6692,                0.06266,              0.0016604,              0.0016604
                      5,                 1.5222,                 1.5191,                 1.4908,                0.27586,                0.82759,                0.30067,                0.11694,                 2.0677,                 24.618,                 3.2624,               0.052965,              0.0019649,              0.0019649
                      6,                 1.5525,                 1.4899,                 1.4988,                0.20588,                0.48276,                 0.2278,                0.09413,                 2.0019,                 26.965,                 2.5821,                0.04322,              0.0022199,              0.0022199
                      7,                 1.5567,                 1.5131,                 1.5279,                 0.0808,                0.55172,                0.09043,                0.01785,                 3.1358,                 14.939,                 4.1874,               0.033425,              0.0024254,              0.0024254
                      8,                 1.5007,                 1.5691,                 1.5246,                0.09091,                0.06897,                0.02206,                 0.0038,                 3.8037,                 13.788,                 6.7005,               0.023581,              0.0025813,              0.0025813
                      9,                 1.5263,                 1.4812,                 1.5023,                0.00982,                0.13793,                0.00326,                0.00043,                 4.5387,                 6.6777,                 6.3728,               0.013688,              0.0026878,              0.0026878
                     10,                 1.4324,                 1.4282,                 1.4536,                0.02105,                0.24138,                0.01287,                0.00364,                 3.4086,                 5.0146,                 3.5759,              0.0037448,              0.0027448,              0.0027448
                     11,                 1.4183,                 1.7374,                 1.4739,                0.08698,                0.41379,                0.08729,                0.03329,                 2.3318,                 3.8231,                 2.1075,               0.002525,               0.002525,               0.002525
                     12,                 1.3476,                  1.457,                 1.4309,                0.32337,                0.24138,                0.22232,                0.11937,                 2.1799,                 2.6558,                 2.0449,              0.0022775,              0.0022775,              0.0022775
                     13,                 1.2284,                 1.3174,                 1.4093,                0.73994,                0.82759,                0.83769,                0.43587,                 1.6694,                 1.6807,                 1.7385,                0.00203,                0.00203,                0.00203
                     14,                 1.2488,                 1.2129,                  1.374,                0.85448,                0.96552,                0.97162,                0.58565,                 1.3599,                 1.5768,                 1.5686,              0.0017825,              0.0017825,              0.0017825
                     15,                 1.2541,                 1.2241,                 1.3763,                0.86799,                0.90718,                 0.9588,                0.57075,                 1.2915,                 1.5559,                 1.4513,               0.001535,               0.001535,               0.001535
                     16,                 1.1987,                 1.1319,                 1.3616,                0.83182,                0.96552,                0.96709,                0.58933,                 1.3451,                 1.5644,                 1.4466,              0.0012875,              0.0012875,              0.0012875
                     17,                  1.089,                 1.0858,                  1.266,                0.89312,                0.96552,                0.93798,                0.61367,                 1.3629,                 1.4133,                 1.5022,                0.00104,                0.00104,                0.00104
                     18,                 1.0049,                 1.0731,                 1.2432,                0.96153,                0.86192,                0.94562,                0.63963,                 1.2946,                 1.2972,                 1.3925,              0.0007925,              0.0007925,              0.0007925
                     19,                 1.0559,                 1.0785,                 1.2688,                      1,                0.88484,                0.98071,                0.64636,                 1.2635,                 1.2559,                 1.3398,               0.000545,               0.000545,               0.000545
                     20,                 1.0688,                 1.0246,                 1.2403,                      1,                0.93065,                  0.993,                0.67992,                 1.1778,                 1.1356,                 1.2703,              0.0002975,              0.0002975,              0.0002975
